Method,Name,Error,Occurrences
POST,/api/request [suspicious],CatchResponseError('Suspicious traffic admitted (FN)'),142
POST,/api/request [bursty],HTTPError('429 Client Error: Too Many Requests for url: /api/request [bursty]'),1076
