Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773570426,6,,Aggregated,84.400000,1.200000,3,3,3,3,4,4,4,5,2000,2000,2000,2275,36,3,8.102400747337635,0.946600004681386,2038.446999998996,581.1978021978022
1773570427,6,,Aggregated,84.400000,1.200000,3,3,3,3,4,4,4,5,2000,2000,2000,2359,37,3,7.915155320116572,0.946600004681386,2038.446999998996,581.4328105129292
1773570428,6,,Aggregated,83.400000,1.200000,3,3,3,3,4,4,4,5,2000,2000,2000,2443,38,3,7.762921408212024,0.946600004681386,2038.446999998996,581.5100286532951
1773570429,6,,Aggregated,83.800000,1.200000,3,3,3,3,4,4,4,5,2000,2000,2000,2526,39,3,7.602724267690569,0.946600004681386,2038.446999998996,581.7110055423594
1773570430,6,,Aggregated,83.600000,1.200000,3,3,3,3,4,4,4,5,2000,2000,2000,2609,41,3,7.483254273718968,0.946600004681386,2038.446999998996,581.6420084323496
1773570431,6,,Aggregated,83.500000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,2692,42,3,7.341223179845457,0.946600004681386,2038.446999998996,581.8462109955424
1773570432,6,,Aggregated,83.900000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,2779,43,3,7.219227276051339,0.946600004681386,2038.446999998996,581.8909679740914
1773570433,6,,Aggregated,83.900000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,2860,44,3,7.094540839211509,0.946600004681386,2038.446999998996,582.0615384615385
1773570434,6,,Aggregated,83.700000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,2948,45,3,6.972376797857874,0.946600004681386,2038.446999998996,582.2537313432836
1773570435,6,,Aggregated,83.300000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,3038,47,3,6.851153686644601,0.946600004681386,2038.446999998996,582.2909809084924
1773570436,6,,Aggregated,83.700000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,3123,48,3,6.753110983004721,0.946600004681386,2038.446999998996,582.3442203009927
1773570437,6,,Aggregated,83.900000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,3210,49,3,6.649858940801093,0.946600004681386,2038.446999998996,582.3180685358255
1773570438,6,,Aggregated,84.600000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,3295,50,3,6.563069590277107,0.946600004681386,2038.446999998996,582.3496206373293
1773570439,6,,Aggregated,84.800000,1.200000,3,3,3,3,4,4,5,5,2000,2000,2000,3378,51,3,6.477287477781645,0.946600004681386,2038.446999998996,582.3673771462404
1773570440,6,,Aggregated,84.700000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3463,53,3,6.402271325454952,0.946600004681386,2038.446999998996,582.2642217730291
1773570441,6,,Aggregated,85.100000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3551,54,3,6.312463418773032,0.946600004681386,2038.446999998996,582.2928752464095
1773570442,6,,Aggregated,85.100000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3630,55,3,6.255180000008588,0.946600004681386,2038.446999998996,582.4137741046832
1773570443,6,,Aggregated,85.500000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3707,56,3,6.196200782289321,0.946600004681386,2038.446999998996,582.3423253304559
1773570444,6,,Aggregated,85.000000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3794,57,3,6.13466552449038,0.946600004681386,2038.446999998996,582.4406958355298
1773570445,6,,Aggregated,84.700000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3886,59,3,6.0547862583521805,0.946600004681386,2038.446999998996,582.4758106021616
1773570446,6,,Aggregated,84.100000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,3974,60,3,5.997798666328407,0.946600004681386,2038.446999998996,582.5981378963261
1773570447,6,,Aggregated,84.600000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4061,61,3,5.929565279475614,0.946600004681386,2038.446999998996,582.7153410490027
1773570448,6,,Aggregated,84.500000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4145,62,3,5.874549915579589,0.946600004681386,2038.446999998996,582.8183353437877
1773570449,6,,Aggregated,84.400000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4232,64,3,5.812648227804604,0.946600004681386,2038.446999998996,582.680056710775
1773570450,6,,Aggregated,84.800000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4319,65,3,5.760924589049881,0.946600004681386,2038.446999998996,582.7719379485992
1773570451,6,,Aggregated,84.700000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4402,66,3,5.704491299451095,0.946600004681386,2038.446999998996,582.7996365288506
1773570452,6,,Aggregated,85.000000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4484,67,3,5.657987288170754,0.946600004681386,2038.446999998996,582.7401873327386
1773570453,6,,Aggregated,85.000000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4568,68,3,5.598549540330355,0.946600004681386,2038.446999998996,582.742119089317
1773570454,6,,Aggregated,85.000000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4647,70,3,5.553707208989003,0.946600004681386,2038.446999998996,582.7703894986013
1773570455,6,,Aggregated,85.400000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4729,71,3,5.4985894058293345,0.946600004681386,2038.446999998996,582.8475364770565
1773570456,6,,Aggregated,85.200000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4813,72,3,5.448968564346897,0.946600004681386,2038.446999998996,582.9133596509454
1773570457,6,,Aggregated,84.100000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4896,73,3,5.396487336642452,0.946600004681386,2038.446999998996,582.9566993464052
1773570458,6,,Aggregated,83.800000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,4982,74,3,5.348607707794943,0.946600004681386,2038.446999998996,582.9114813327981
1773570459,6,,Aggregated,83.500000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,5067,86,3,5.299896664736378,0.946600004681386,2038.446999998996,583.0161831458456
1773570460,6,,Aggregated,83.300000,1.200000,3,3,3,3,4,4,5,6,2000,2000,2000,5150,96,3,5.263640679646786,0.946600004681386,2038.446999998996,583.5699029126214
1773570461,6,,Aggregated,83.500000,1.800000,3,3,3,3,4,4,5,6,2000,2000,2000,5243,120,3,5.212552412772987,0.946600004681386,2038.446999998996,584.2592027465191
1773570462,6,,Aggregated,82.700000,2.800000,3,3,3,3,4,4,5,6,2000,2000,2000,5330,142,3,5.169600637929513,0.946600004681386,2038.446999998996,584.8110694183865
1773570463,6,,Aggregated,82.800000,4.400000,3,3,3,3,4,4,5,6,2000,2000,2000,5416,162,3,5.123259767361443,0.946600004681386,2038.446999998996,585.3399187592319
1773570464,6,,Aggregated,83.700000,6.500000,3,3,3,3,4,4,5,6,2000,2000,2000,5496,183,3,5.090919523285546,0.946600004681386,2038.446999998996,585.8748180494905
1773570465,6,,Aggregated,84.300000,8.500000,3,3,3,3,4,4,5,6,2000,2000,2000,5578,203,3,5.051632681953663,0.946600004681386,2038.446999998996,586.3275367515239
1773570466,6,,Aggregated,84.600000,10.600000,3,3,3,3,4,4,5,6,2000,2000,2000,5655,223,3,5.020289885022848,0.946600004681386,2038.446999998996,586.8033598585323
1773570467,6,,Aggregated,84.400000,12.500000,3,3,3,3,4,4,5,6,2000,2000,2000,5738,244,3,4.980940920131759,0.946600004681386,2038.446999998996,587.2258626699198
1773570468,6,,Aggregated,84.300000,14.300000,3,3,3,3,4,4,5,6,2000,2000,2000,5816,263,3,4.951976530224143,0.946600004681386,2038.446999998996,587.6298143053646
1773570469,6,,Aggregated,83.400000,16.100000,3,3,3,3,4,4,5,6,2000,2000,2000,5895,284,3,4.917377217956052,0.946600004681386,2038.446999998996,588.0888888888888
1773570470,6,,Aggregated,83.000000,18.000000,3,3,3,3,3,4,5,6,2000,2000,2000,5973,303,3,4.889531793061145,0.946600004681386,2038.446999998996,588.5262012389085
1773570471,6,,Aggregated,82.600000,19.400000,3,3,3,3,3,4,5,6,45,2000,2000,6062,326,3,4.8562571758371,0.946600004681386,2038.446999998996,588.9973606070604
1773570472,6,,Aggregated,82.300000,20.200000,3,3,3,3,3,4,5,6,45,2000,2000,6145,346,3,4.8380076973103225,0.946600004681386,2038.446999998996,589.439544344996
1773570473,6,,Aggregated,81.600000,20.600000,3,3,3,3,3,4,5,6,45,2000,2000,6227,366,3,4.806592355869496,0.946600004681386,2038.446999998996,589.824152882608
